Age,Age_brackets,gender,state,country_name
47,47,M,Virginia,Sweden
70,48,M,California,Ireland
67,0,M,Colorado,Finland
76,1,M,South Carolina,Spain
80,2,M,Ohio,Spain
27,3,F,Louisiana,Sweden
45,4,F,Arizona,France
45,5,M,California,Germany
54,6,F,Maryland,Italy
79,7,M,Florida,Italy
51,8,M,Massachusetts,Italy
69,9,M,Maryland,France
69,10,F,Washington,Ireland
66,11,F,Idaho,Italy
79,12,M,California,Germany
53,13,F,Massachusetts,Sweden
75,14,F,New York,Austria
80,15,M,New Mexico,Germany
59,16,M,Washington,Italy
61,17,F,Illinois,Italy
63,18,F,Arizona,Spain
76,19,M,California,Bulgaria
69,20,M,Texas,Germany
83,21,M,Washington,Germany
57,22,M,California,Spain
80,23,F,Georgia,Finland
45,24,M,New York,Sweden
61,25,M,Colorado,Czech Republic
71,26,M,Ohio,Bulgaria
75,27,M,California,Luxembourg
57,28,M,Texas,Bulgaria
67,29,M,Arizona,Ireland
82,30,M,California,Denmark
64,31,M,New York,Italy
80,32,M,Maine,Sweden
87,33,M,Florida,Germany
74,34,M,Massachusetts,Cyprus
43,35,M,Florida,France
68,36,M,Massachusetts,Greece
71,37,F,Washington,Italy
85,38,M,New Jersey,Denmark
64,39,M,New Jersey,France
69,40,M,Texas,Ireland
73,41,M,Texas,Greece
76,42,F,Maryland,Greece
54,43,M,Maryland,Spain
53,44,M,Nevada,France
63,45,M,Wisconsin,Germany
71,47,M,Washington,Sweden
80,48,M,Connecticut,United Kingdom
41,49,M,California,Italy
44,0,M,Colorado,United Kingdom
51,1,M,Maryland,Italy
67,2,M,Arizona,Italy
34,3,M,Washington,Italy
45,4,M,California,Greece
58,5,M,Pennsylvania,Greece
48,6,M,California,Italy
59,7,M,Massachusetts,Spain
66,8,M,California,United Kingdom
68,10,M,North Carolina,Germany
36,11,M,Illinois,Greece
55,12,M,Florida,Germany
62,13,M,Florida,United Kingdom
64,14,M,California,Bulgaria
82,15,M,Ohio,France
38,16,M,Colorado,United Kingdom
67,17,M,Michigan,Spain
78,18,F,Virginia,United Kingdom
46,19,M,Washington,Bulgaria
49,20,M,California,Germany
70,21,F,California,Italy
52,22,M,California,United Kingdom
58,23,M,California,Finland
61,24,M,Connecticut,Spain
72,25,M,Oregon,Sweden
77,26,F,Virginia,France
79,27,M,Texas,Denmark
72,29,M,Maine,Italy
77,30,M,Hawaii,United Kingdom
62,31,F,Illinois,United Kingdom
63,32,M,Texas,France
46,33,M,Washington,Sweden
56,34,M,Kansas,Spain
60,35,M,California,Denmark
68,36,M,California,Italy
79,37,F,California,Denmark
42,38,M,Missouri,Denmark
53,39,M,California,Sweden
61,40,M,Texas,Finland
76,41,M,California,Greece
77,42,F,California,Germany
69,43,M,Colorado,France
73,44,M,Texas,Sweden
78,45,F,California,United Kingdom
90,46,M,North Carolina,Denmark
58,47,M,California,Greece
73,48,M,Georgia,United Kingdom
41,49,M,Florida,United Kingdom
53,0,F,Massachusetts,Germany
87,1,M,New York,Spain
80,2,M,Oregon,Italy
83,3,M,Florida,Bulgaria
74,4,M,Massachusetts,Ireland
77,5,M,Vermont,United Kingdom
82,6,M,California,Bulgaria
41,7,M,Florida,Spain
45,8,M,Colorado,Bulgaria
47,9,M,North Carolina,United Kingdom
50,10,F,Florida,Germany
50,11,M,Wisconsin,Italy
64,12,M,Texas,Greece
62,13,M,California,Sweden
66,14,F,Kansas,United Kingdom
67,15,M,Maryland,Italy
73,16,M,Missouri,Germany
75,17,F,California,Spain
53,18,M,Arizona,Bulgaria
66,19,F,California,Germany
70,20,M,New York,Sweden
73,21,M,District of Columbia,Italy
40,22,M,Indiana,Greece
58,23,M,District of Columbia,France
66,24,M,California,France
76,25,M,Colorado,Germany
38,26,M,Indiana,United Kingdom
79,27,M,Colorado,Germany
52,28,M,California,Finland
47,29,M,New York,Spain
51,30,M,Texas,Greece
69,31,F,New York,France
62,32,F,California,France
66,33,M,Virginia,France
71,34,M,Massachusetts,Italy
38,35,M,New York,Sweden
57,36,F,California,Cyprus
57,37,M,Washington,Ireland
60,38,M,Washington,France
65,39,F,New York,Ireland
70,40,F,Washington,United Kingdom
72,41,M,California,United Kingdom
79,42,M,California,Spain
86,43,F,California,Cyprus
57,44,M,Georgia,Ireland
73,45,M,Virginia,Italy
50,46,M,New York,United Kingdom
73,47,M,Oregon,Finland
90,48,M,California,Denmark
44,49,M,Minnesota,Denmark
61,0,M,New York,Spain
66,1,M,Texas,Germany
43,2,M,Pennsylvania,Bulgaria
62,3,M,North Carolina,Finland
73,4,M,New York,Germany
78,5,M,Texas,Bulgaria
41,6,M,Massachusetts,Germany
53,7,M,New York,Italy
53,8,F,California,Sweden
60,9,F,Colorado,France
68,10,M,Florida,Bulgaria
75,11,M,North Carolina,Italy
84,12,F,Virginia,Slovakia
88,13,M,California,Italy
50,14,M,Hawaii,Italy
69,15,F,Texas,Sweden
42,16,M,California,France
51,17,F,California,Germany
65,18,F,California,United Kingdom
70,19,F,Florida,Finland
71,20,F,Florida,Spain
68,21,M,Kansas,Croatia
69,22,F,Colorado,Germany
78,23,F,Massachusetts,Germany
80,24,M,Texas,Denmark
89,25,F,California,France
104,26,F,California,United Kingdom
57,27,M,Colorado,Germany
74,28,F,California,Finland
62,29,M,California,Germany
70,30,M,Florida,United Kingdom
40,31,M,California,Ireland
66,32,F,California,France
68,33,M,California,Denmark
35,34,M,Washington,Bulgaria
41,35,F,Minnesota,United Kingdom
42,36,M,New York,Italy
47,37,M,Texas,Romania
74,38,M,Arizona,United Kingdom
70,39,M,Washington,Denmark
77,40,F,Arkansas,Greece
49,41,M,Illinois,Italy
54,42,M,District of Columbia,France
70,43,F,California,France
76,44,M,Florida,Germany
50,45,F,Missouri,Belgium
67,46,M,California,Belgium
70,47,M,Florida,Greece
71,48,M,California,United Kingdom
39,49,M,New York,Bulgaria
48,0,M,New York,France
60,1,M,California,Spain
67,2,F,Virginia,Greece
70,3,M,Alabama,Finland
70,4,M,Pennsylvania,Spain
76,5,M,Michigan,Sweden
34,6,M,California,Austria
64,7,M,Georgia,Spain
78,8,M,Minnesota,Sweden
78,9,F,Hawaii,Germany
50,10,M,Connecticut,Bulgaria
74,11,M,South Carolina,Ireland
67,12,M,Washington,Greece
79,13,F,Colorado,Poland
79,14,F,Arizona,Finland
89,15,M,California,Denmark
55,16,M,Texas,Finland
87,17,F,Illinois,France
40,18,M,California,Austria
55,19,M,Hawaii,France
56,20,M,Pennsylvania,Denmark
63,21,M,Connecticut,Spain
68,22,M,Michigan,Spain
79,23,M,Texas,Denmark
84,24,M,Michigan,Bulgaria
51,25,M,Virginia,Germany
53,26,F,Colorado,Germany
54,27,F,Connecticut,Bulgaria
73,28,M,California,Italy
74,29,F,Texas,Ireland
75,30,M,Massachusetts,Ireland
52,31,M,New Jersey,Sweden
62,32,M,California,United Kingdom
70,33,F,Hawaii,Romania
61,34,M,Virginia,Poland
72,35,M,California,Denmark
81,36,M,Texas,France
51,37,M,Virginia,United Kingdom
67,38,M,Virginia,United Kingdom
67,39,F,Georgia,Croatia
69,40,M,California,Germany
75,41,M,Nevada,United Kingdom
51,42,M,Oregon,Austria
66,43,F,California,Germany
79,44,M,North Carolina,Ireland
50,45,M,California,Italy
62,46,M,Arizona,Germany
62,47,M,Connecticut,Ireland
74,48,M,California,Malta
30,49,M,California,Spain
50,0,F,New York,Sweden
56,1,M,California,Sweden
73,2,F,New Hampshire,Germany
77,3,F,South Carolina,Germany
40,4,M,North Carolina,Finland
47,5,M,Alabama,United Kingdom
49,6,M,California,Spain
50,7,M,California,Spain
66,8,M,Indiana,Germany
68,9,M,California,United Kingdom
73,10,M,Maryland,Ireland
76,11,M,Mississippi,Finland
39,12,M,Maryland,Greece
50,13,M,Florida,Sweden
50,14,F,Florida,Spain
54,15,M,California,Spain
59,16,M,New Mexico,Spain
25,17,M,California,United Kingdom
52,18,F,California,Bulgaria
52,19,M,California,France
59,20,M,Connecticut,Spain
72,21,M,California,Ireland
47,22,M,Illinois,Spain
57,23,M,Minnesota,Romania
69,24,M,California,Ireland
39,25,F,South Carolina,Spain
55,26,F,California,Greece
62,27,M,Texas,Germany
62,28,M,Texas,Belgium
70,29,M,Alabama,Italy
79,30,F,Colorado,United Kingdom
90,31,M,California,Sweden
29,32,F,California,Italy
29,33,M,Maryland,Denmark
43,34,M,Virginia,France
58,35,M,California,United Kingdom
64,36,F,Pennsylvania,Germany
70,37,M,Colorado,Germany
73,38,F,California,France
27,39,F,Michigan,Ireland
52,40,M,Texas,France
55,41,M,District of Columbia,Greece
64,42,F,Minnesota,France
68,43,M,Texas,Denmark
80,44,F,New Mexico,United Kingdom
47,45,M,Colorado,United Kingdom
48,46,M,New York,Germany
57,47,M,Pennsylvania,France
63,48,F,Michigan,United Kingdom
26,49,F,California,Italy
55,0,M,Minnesota,France
55,1,M,Florida,Germany
55,2,M,California,Italy
72,3,M,Colorado,Italy
78,4,F,Missouri,Spain
36,5,M,Massachusetts,Malta
40,6,M,New York,United Kingdom
47,7,M,Washington,Latvia
56,8,F,New York,Bulgaria
57,9,M,Colorado,Italy
59,10,F,Massachusetts,Germany
68,11,M,California,Finland
76,12,M,Florida,France
31,13,M,New York,Italy
58,14,M,Arizona,France
60,15,M,Tennessee,Italy
68,16,F,Colorado,Belgium
77,17,M,California,Finland
84,18,M,Texas,Greece
88,19,M,California,Italy
88,20,F,Florida,Lithuania
89,21,M,Florida,Spain
43,22,M,Texas,Italy
57,23,F,New York,Germany
58,24,M,Arizona,France
61,25,M,Illinois,Italy
62,26,M,California,Finland
76,27,M,Connecticut,France
86,28,M,California,Spain
40,29,M,Utah,Germany
50,30,M,New York,Sweden
61,31,F,Washington,Sweden
61,32,M,Washington,Germany
71,33,F,California,Sweden
47,34,M,California,United Kingdom
50,35,M,California,Finland
57,36,M,New York,Greece
59,37,M,Florida,Spain
75,38,F,Washington,France
76,39,M,California,Ireland
80,40,F,Arizona,United Kingdom
83,41,M,New York,Spain
35,42,M,Hawaii,Greece
39,43,M,District of Columbia,Greece
43,44,M,California,Spain
47,45,M,New York,Germany
37,46,F,California,Italy
62,47,F,Nevada,Spain
69,48,F,Illinois,Poland
69,49,M,New York,Spain
57,0,M,Colorado,Germany
62,1,M,California,Bulgaria
69,2,F,Georgia,Greece
72,3,M,Arizona,Greece
32,4,M,California,Finland
41,5,F,Massachusetts,France
64,6,F,Georgia,Sweden
73,7,M,Georgia,Germany
29,8,M,Ohio,Bulgaria
37,9,M,New York,Netherlands
52,10,M,California,Germany
69,12,M,Arizona,Germany
59,13,M,Alaska,France
69,14,M,California,Spain
72,15,F,California,Bulgaria
74,16,M,Massachusetts,Slovakia
52,17,M,New York,Spain
61,18,M,District of Columbia,Germany
73,19,F,Florida,Denmark
74,20,M,California,Spain
32,21,M,Florida,Spain
38,22,F,Texas,Italy
58,23,M,New York,Bulgaria
67,24,F,California,United Kingdom
79,25,M,Arizona,Spain
51,26,M,New York,Greece
60,27,M,Louisiana,France
33,28,F,California,United Kingdom
38,29,M,California,United Kingdom
40,30,M,California,France
41,31,F,Florida,Denmark
44,32,M,Massachusetts,Sweden
65,33,M,New Jersey,France
75,34,M,California,Bulgaria
83,35,M,California,Slovenia
87,36,M,Arizona,Sweden
65,37,F,New York,France
72,38,M,Ohio,Germany
74,39,M,Florida,Bulgaria
82,40,M,Vermont,France
38,41,M,Texas,Bulgaria
45,42,M,California,Italy
47,43,M,California,France
56,44,F,New York,France
58,45,M,Colorado,Finland
60,46,M,New Jersey,Ireland
69,47,F,California,Italy
77,48,F,Oregon,Denmark
78,49,M,Texas,Germany
42,0,M,Washington,Bulgaria
51,1,M,Massachusetts,France
57,2,M,Oregon,Germany
59,3,M,Massachusetts,Spain
66,4,F,California,Ireland
71,5,M,Illinois,France
73,6,M,Illinois,Finland
76,7,M,Florida,Italy
28,8,M,California,Bulgaria
61,9,M,California,Spain
61,10,M,Indiana,Sweden
67,11,M,Kentucky,United Kingdom
70,12,M,Indiana,Italy
78,13,F,Nebraska,Bulgaria
29,14,F,California,Italy
32,15,M,Texas,Spain
40,16,M,Washington,Italy
53,17,M,Minnesota,United Kingdom
59,18,M,Indiana,Greece
74,19,M,Virginia,Ireland
76,20,M,North Carolina,Sweden
54,21,M,California,France
57,22,M,California,United Kingdom
71,23,F,Wisconsin,Finland
76,24,F,Georgia,Luxembourg
39,25,M,California,Lithuania
40,26,M,California,Spain
46,27,M,Oregon,Germany
46,28,M,Hawaii,Spain
60,29,M,Arizona,Italy
70,30,M,North Carolina,Italy
33,31,F,Florida,Spain
36,32,M,California,United Kingdom
45,33,F,Arizona,Germany
56,34,M,Illinois,Luxembourg
72,35,M,New York,Estonia
79,36,M,Connecticut,France
47,37,M,Arkansas,Denmark
51,38,F,New York,France
53,39,F,Kentucky,Ireland
61,40,F,Texas,Italy
67,41,M,Oklahoma,Germany
35,42,M,Colorado,Italy
41,43,M,District of Columbia,Spain
47,44,M,New York,Ireland
70,45,M,Florida,United Kingdom
78,46,F,California,France
44,47,M,Washington,Bulgaria
48,48,M,California,Germany
48,49,M,Texas,United Kingdom
60,0,M,Virginia,France
64,1,M,Florida,Germany
65,2,F,New Jersey,Bulgaria
67,3,M,Colorado,Spain
69,4,M,Ohio,France
72,5,M,Ohio,Spain
73,6,F,Florida,Ireland
79,7,M,Wisconsin,United Kingdom
87,8,M,California,Spain
35,9,M,California,Ireland
35,10,M,Hawaii,Italy
37,11,M,Florida,Germany
46,12,M,Texas,United Kingdom
48,13,M,New York,United Kingdom
50,14,F,Utah,Hungary
59,15,M,Missouri,Spain
71,16,M,Florida,Italy
47,17,M,Texas,Luxembourg
48,18,F,Georgia,United Kingdom
51,19,M,California,Germany
54,20,M,New Mexico,United Kingdom
67,21,F,North Carolina,Germany
70,22,F,Florida,Malta
24,23,M,Louisiana,Spain
39,24,M,Massachusetts,Germany
40,25,F,California,Spain
42,26,F,Florida,Bulgaria
45,27,M,Florida,Italy
48,28,M,New Jersey,Poland
51,29,M,District of Columbia,Bulgaria
57,30,M,Florida,Slovenia
70,31,M,Virginia,Germany
44,32,M,Illinois,Spain
60,34,M,Colorado,Italy
62,35,M,Florida,Spain
67,36,M,Massachusetts,Italy
69,37,F,California,Lithuania
33,38,M,Illinois,Bulgaria
48,39,M,Washington,France
64,40,M,Virginia,Finland
72,41,F,California,Luxembourg
75,42,F,Colorado,Finland
75,43,M,Nevada,Spain
79,44,M,Texas,Germany
49,45,F,Hawaii,Spain
49,46,M,Ohio,France
53,47,M,Wisconsin,Greece
58,48,M,Texas,Denmark
79,49,F,Florida,France
81,0,M,Texas,United Kingdom
37,1,M,Texas,Germany
41,2,M,South Carolina,United Kingdom
46,3,M,Washington,France
51,4,M,California,Denmark
58,5,F,Massachusetts,Ireland
60,6,M,Texas,Italy
80,7,F,Florida,United Kingdom
83,8,M,California,France
86,9,M,Ohio,Bulgaria
49,10,M,California,United Kingdom
54,11,M,California,Germany
63,12,F,Tennessee,Italy
67,13,M,District of Columbia,Greece
69,14,M,Virginia,Ireland
74,15,M,Colorado,United Kingdom
81,16,M,Florida,Denmark
86,17,F,California,Germany
42,18,M,Missouri,Ireland
48,19,M,New York,Germany
49,20,F,Washington,Germany
49,21,M,Texas,Bulgaria
59,22,M,Texas,Finland
59,23,M,Massachusetts,Spain
61,24,M,California,United Kingdom
67,25,M,Oregon,Finland
69,26,M,South Carolina,Germany
73,27,M,California,United Kingdom
81,28,F,California,Italy
32,29,M,New York,Bulgaria
39,30,M,Colorado,Romania
45,31,M,North Carolina,Lithuania
51,32,F,Delaware,Denmark
54,33,F,Pennsylvania,United Kingdom
54,34,M,Washington,United Kingdom
57,35,M,Oklahoma,Denmark
57,36,M,California,France
60,37,M,Washington,Italy
68,38,F,Georgia,United Kingdom
69,39,M,Florida,United Kingdom
69,40,M,Virginia,United Kingdom
71,41,F,Mississippi,Germany
75,42,F,Colorado,Germany
75,43,M,Missouri,Spain
37,44,M,Georgia,Finland
53,45,M,New Jersey,Bulgaria
66,46,F,Florida,Germany
68,47,M,California,Italy
71,48,M,Virginia,Germany
75,49,M,California,Greece
75,0,M,Massachusetts,Spain
34,1,M,Iowa,Germany
36,2,M,Washington,Germany
47,3,M,Arkansas,United Kingdom
49,4,F,New York,United Kingdom
50,5,F,Maryland,Finland
56,6,M,Utah,United Kingdom
72,7,M,California,Germany
80,8,M,Florida,Spain
118,9,M,California,Belgium
26,10,M,New York,Spain
38,11,M,Florida,Spain
45,12,M,Tennessee,Slovakia
50,13,M,Maryland,Netherlands
55,14,M,Texas,United Kingdom
60,15,M,Michigan,Sweden
66,16,M,South Carolina,Ireland
74,17,M,Texas,Italy
38,18,M,California,Finland
48,19,M,California,France
49,20,M,Arizona,Bulgaria
50,21,M,Florida,United Kingdom
63,22,F,Texas,Slovenia
66,23,M,California,Finland
76,24,M,California,France
81,25,M,Indiana,United Kingdom
39,26,M,Arizona,Bulgaria
39,27,F,Illinois,Poland
44,28,M,New York,Germany
52,29,M,California,France
55,30,M,California,Germany
57,31,M,California,Italy
67,32,M,California,United Kingdom
68,33,M,Missouri,Germany
71,34,M,Hawaii,Belgium
72,35,M,New York,Germany
79,36,F,Arizona,Spain
92,37,M,California,Greece
38,38,F,Washington,Spain
49,39,M,Missouri,Spain
64,40,M,Georgia,Sweden
74,41,M,Virginia,United Kingdom
49,42,M,Minnesota,Spain
50,43,F,New York,France
52,44,M,California,Italy
55,45,M,California,Italy
58,46,M,California,Spain
60,47,F,Missouri,France
62,48,F,Tennessee,Germany
69,49,M,Oregon,France
73,0,M,Michigan,Greece
76,1,M,Arizona,Italy
78,2,F,Arizona,Germany
34,3,F,California,Bulgaria
35,4,M,Oregon,Spain
36,5,M,Georgia,United Kingdom
47,6,M,Pennsylvania,Germany
49,7,F,Washington,Italy
77,8,M,Washington,France
43,9,M,District of Columbia,Germany
53,10,M,New York,Italy
66,11,M,California,Spain
71,12,M,Wisconsin,Bulgaria
75,13,M,Texas,Finland
85,14,F,New York,Spain
32,15,M,Minnesota,Italy
38,16,F,New York,France
46,17,M,Illinois,Spain
49,18,F,Arizona,Denmark
49,19,M,New Jersey,Germany
50,20,M,California,Hungary
51,21,M,Colorado,Italy
61,22,M,North Carolina,Denmark
70,23,M,California,Greece
75,24,M,Texas,United Kingdom
78,25,F,California,Italy
44,26,M,Michigan,Ireland
47,27,F,California,Denmark
58,28,M,West Virginia,Bulgaria
60,29,F,Texas,Bulgaria
69,30,F,California,Denmark
75,31,F,Massachusetts,Greece
77,32,M,California,Germany
30,33,M,Illinois,Finland
36,34,M,Florida,France
40,35,M,Texas,Italy
40,36,M,District of Columbia,Czech Republic
45,37,M,New York,Sweden
47,38,F,California,France
55,39,M,Oregon,Bulgaria
58,40,F,Florida,Italy
72,41,F,Florida,Greece
72,42,M,California,Spain
44,43,M,Washington,Luxembourg
48,44,M,Illinois,Greece
49,45,M,Massachusetts,Bulgaria
59,46,M,New York,France
59,47,M,Illinois,France
64,48,M,Connecticut,Spain
65,49,M,Wisconsin,Germany
83,0,F,Rhode Island,Spain
35,1,F,South Carolina,Germany
37,2,M,Oregon,Finland
38,3,M,Pennsylvania,Greece
45,4,M,Georgia,Greece
46,5,M,District of Columbia,France
55,6,M,District of Columbia,France
55,7,F,Illinois,United Kingdom
62,8,M,Maryland,United Kingdom
68,9,F,California,United Kingdom
73,10,F,Ohio,Hungary
41,11,M,California,Finland
48,12,M,District of Columbia,Germany
55,13,M,Texas,Germany
57,14,M,Missouri,Spain
58,15,M,Florida,United Kingdom
65,16,M,Washington,United Kingdom
71,17,M,Florida,Ireland
92,18,M,South Carolina,Malta
33,19,M,Massachusetts,Lithuania
34,20,M,Pennsylvania,Germany
48,21,M,California,Lithuania
48,22,M,Massachusetts,Finland
50,23,M,Massachusetts,France
55,24,M,California,Italy
57,25,M,Pennsylvania,Spain
67,26,F,South Carolina,Netherlands
70,27,F,California,Greece
72,28,M,Florida,Croatia
77,29,M,Connecticut,France
79,30,M,California,Spain
32,31,M,California,Germany
39,32,M,Florida,Germany
43,33,M,California,Finland
44,34,M,Virginia,Italy
46,35,M,New York,United Kingdom
53,36,M,Nevada,France
58,37,M,Washington,Portugal
70,38,F,Pennsylvania,Italy
34,39,M,Illinois,France
35,40,M,Arizona,Denmark
35,41,M,New York,Germany
38,42,M,Michigan,United Kingdom
51,43,M,New Jersey,United Kingdom
68,44,M,Virginia,Italy
75,45,M,Indiana,Italy
79,46,M,California,Ireland
80,47,M,Florida,United Kingdom
31,48,M,Massachusetts,Austria
37,49,M,Virginia,Spain
45,0,M,Connecticut,France
46,2,M,Pennsylvania,Ireland
49,3,M,Missouri,Sweden
50,4,M,Minnesota,Bulgaria
58,5,M,Florida,Finland
58,6,M,Illinois,Finland
59,7,M,Louisiana,Ireland
61,8,M,District of Columbia,Spain
68,9,M,California,France
43,10,M,Florida,France
44,11,M,Illinois,France
52,12,M,Minnesota,United Kingdom
67,13,F,Florida,Italy
67,14,M,California,Germany
68,15,M,Maryland,Spain
70,16,M,Texas,France
33,17,M,Virginia,Bulgaria
59,18,M,Florida,Greece
64,19,M,Pennsylvania,Germany
69,20,F,California,Spain
77,21,M,Texas,Italy
81,22,M,New York,Finland
36,23,F,New Jersey,Bulgaria
38,24,F,Oklahoma,Spain
41,25,M,North Carolina,Sweden
45,26,M,District of Columbia,Slovakia
45,27,M,Missouri,France
59,28,F,Arkansas,United Kingdom
65,29,M,Arizona,Greece
71,30,M,Texas,Ireland
73,31,F,North Carolina,Spain
42,32,M,Florida,United Kingdom
48,33,M,California,Germany
50,34,M,Illinois,France
55,35,M,Massachusetts,United Kingdom
58,36,M,New York,Germany
60,37,M,California,Sweden
60,38,M,California,Italy
82,39,F,California,Spain
45,40,F,Utah,United Kingdom
52,41,M,California,United Kingdom
52,42,M,Utah,Germany
53,43,M,Nevada,Germany
53,44,F,New Jersey,Romania
58,45,M,North Carolina,Greece
58,46,F,West Virginia,Spain
61,47,M,Florida,Denmark
68,48,M,Florida,Finland
69,49,M,South Carolina,Spain
71,0,F,California,Poland
